"";"GSM3688814_p.15.06.2016_01_AS6.ga.cel";"GSM3688815_p.15.06.2016_02_AS2.ga.cel";"GSM3688816_p.15.06.2016_03_AS3.ga.cel";"GSM3688817_p.15.06.2016_04_AS5.ga.cel";"GSM3688818_p.15.06.2016_14_AS7.ga.cel";"GSM3688819_p.15.06.2016_05_S15.ga.cel";"GSM3688820_p.15.06.2016_07_S10.ga.cel";"GSM3688821_p.15.06.2016_09_S29.ga.cel";"P.Value";"adj.P.Val";"B"
"17063534";4,43359929444592;4,19604858301763;5,00635094155869;4,28327317035457;4,04228419523904;6,02621175088555;5,52427228223084;5,24120503344966;0,136834416762431;0,431644885218433;-5,0149906490321
"17063536";6,24549061968012;6,08744526696691;6,37020497515208;6,21667623001044;5,71967409603593;6,97945677480019;7,31150829699832;6,28883802730448;0,0219098175688868;0,303701338876275;-3,44330084817162
"17063571";3,55404551461652;3,59974127516347;3,7122798053903;3,40659792833318;4,97901464515553;4,55845571457103;4,83617230126861;4,27328459758233;0,492039429853581;0,709858628539166;-5,92281309342083
"17063573";6,58947440776419;5,91319362040305;5,89524134015731;5,54308393358175;6,23534661490472;6,54822937624304;5,15254921736008;6,1145887857575;0,671256840583122;0,827847180405377;-6,07551832496145
"17063575";5,22528057094477;4,8439785146688;5,02673404879881;4,83123711480354;5,48069047729198;5,8283606143365;5,92849208902439;5,49192045469988;0,140513911951982;0,43275181773629;-5,03624516231824
"17063681";5,18377231792946;4,824959583828;4,81369615767326;4,7987756852441;5,38713442815653;5,80442249533338;6,50921715342604;4,78821262891618;0,123623746609294;0,421761757213141;-4,93307899814692
"17063779";4,65569384121769;6,34284256415127;6,31461309294253;7,03322817199187;4,35418769570087;4,30457176760433;5,14864661513951;4,81474005006452;0,145010802773804;0,436399820471503;-5,06139181631157
"17063783";6,05088245927621;6,06391029136131;5,05371402577356;5,09934730870465;6,01855883595911;4,87117048735678;4,99377931184253;5,27868765856545;0,441880635883972;0,674403864585306;-5,8604321161755
"17063790";5,82488574509366;5,42107253284308;5,55336776078944;6,79762884945134;5,14910526814474;5,47470992730869;4,75177271063092;6,22189216658319;0,858933720101409;0,932540708264967;-6,15327468735423
"17063803";7,63521428883084;7,84521834427187;6,53706179104368;7,29650684996416;7,32187538086982;7,29650684996416;8,60071507393808;6,68088232849347;0,907855923982338;0,956001736665117;-6,16279965210578
"17063814";7,70812919897897;6,9036113846672;7,72306810833936;6,95998065997545;7,49271605896038;7,21181881388099;6,58518358560274;6,73603559540629;0,372642447932003;0,620947211844923;-5,75413597257875
"17063828";3,84656756794252;4,80643616829262;4,25156476643676;4,1009822049319;3,74628658702935;4,36624699285388;5,22680788500132;4,30833076348129;0,253590207107414;0,527241063450872;-5,48870628536353
"17063832";4,42469218254929;5,95920650364629;4,49372111903013;5,40607349008355;6,31038630449303;5,04756768979605;5,57922866596481;4,95747911114072;0,800538835017538;0,902154411461329;-6,13639400792478
"17063924";5,1725918441481;4,84441867184139;4,64480909165153;4,80959347437886;4,95469362877751;4,36900481975951;4,76259009034527;4,84885162763878;0,745412058985196;0,870946935027682;-6,11461994629611
"17063977";5,96682696040551;5,11806614152968;6,12286513900626;5,45795604581235;5,14398894141015;6,69633982690334;6,48111002824959;6,21808634141885;0,00447559127126459;0,188059013793199;-1,99868697012131
"17063981";7,65764939234672;6,29589281013402;7,00503823482155;6,99851421620057;6,60002520779297;7,76914507644261;8,41397302551845;7,0970490377191;0,0362476992051622;0,328643568929802;-3,89002278663464
